text,value,Description
covid-19,"4,600",https://www.cdc.gov/coronavirus/2019-ncov/index.html
coronavirus update,"3,350",https://www.worldometers.info/coronavirus/
коронавирус,"2,650",Covid-19 in different language
worldometer,"2,150",https://www.worldometers.info/coronavirus/
ipl 2020,"1,700",
clima para amanhã,"1,550",
tiempo de mañana,"1,450",
مدرستي,"1,400",
prakerja,"1,300",
tiempo mañana,"1,150",
local guide program,"1,050",
coronavirus france,"1,000",
weather tomorrow,700,
منصة مدرستي,550,
zoom,550,
election results,500,
eba,500,
meteo di domani,400,
election,350,
india vs new zealand,300,
yarınki hava durumu,250,
wetter morgen,250,
погода завтра,250,
classroom,160,
